loop_id	category	n_genes	genes	in_dualhigh17	tier	mean_d	mean_coex	n_active
PFL_EPI_013	PFL_EPI	2	PSMD14,LDHA	Yes	Tier1_core	1.502	0.578	5
PFL_EPI_014	PFL_EPI	3	TTK,BUB1B,LDHA	Yes	Tier1_core	1.675	0.579	5
PFL_HIF_011	PFL_HIF	3	HIF1A,PKM,EGLN3	Yes	Tier1_core	1.031	0.368	4
PFL_MYC_014	PFL_MYC	4	MYC,ZNF252P,HNRNPK,ILF3	Yes	Tier1_core	1.035	0.315	3
PFL_MYC_016	PFL_MYC	3	MYC,HMGA1,TRIP13	Yes	Tier1_core	1.498	0.344	4
PFL_PI3K_001	PFL_PI3K	4	HMMR,AURKA,MTOR,E2F1	Yes	Tier1_core	1.648	0.377	4
PFL_YAP_004	PFL_YAP	2	YAP1,USP40	Yes	Tier1_core	1.048	0.348	4
PFL_DUB_009	PFL_DUB	2	USP8,YAP1	Yes	Tier2_ext	0.513	0.397	3
PFL_EPI_019	PFL_EPI	3	BRAF,MAP2K1,METTL3	Yes	Tier2_ext	0.827	0.302	4
PFL_HIF_013	PFL_HIF	3	HIF1A,MYH9,CTNNB1	Yes	Tier2_ext	0.922	0.348	3
PFL_MYC_007	PFL_MYC	2	MYC,CCAT1	Yes	Tier2_ext	0.542	0.46	1
PFL_MYC_010	PFL_MYC	3	MYC,C1QBP,PAICS	Yes	Tier2_ext	1.1	0.31	3
PFL_MYC_019	PFL_MYC	2	MYC,EFTUD2	Yes	Tier2_ext	0.956	0.303	3
PFL_RES_009	PFL_RES	2	YAP1,KCMF1	Yes	Tier2_ext	0.809	0.313	4
PFL_YAP_001	PFL_YAP	3	YAP1,TEAD1,SNHG16	Yes	Tier2_ext	0.875	0.355	4
PFL_YAP_003	PFL_YAP	2	YAP1,JAG1	Yes	Tier2_ext	0.679	0.35	3
PFL_YAP_005	PFL_YAP	2	YAP1,CPNE3	Yes	Tier2_ext	0.662	0.438	4
PFL_CRC_001	PFL_CRC	2	SMAD9,MYCN			-0.108	0.105	1
PFL_CRC_002	PFL_CRC	3	PLD1,RELA,NFKB1			0.186	0.211	3
PFL_CRC_003	PFL_CRC	2	LHX1,UHRF1				
PFL_CRC_004	PFL_CRC	3	LGR6,TCF7L2,CTNNB1			0.687	0.134	3
PFL_CRC_005	PFL_CRC	3	KLF5,XPO1,FOXO1			0.694	0.214	2
PFL_CRC_006	PFL_CRC	3	ETV4,CXCR5,MAPK3			0.547	0.034	4
PFL_CRC_007	PFL_CRC	3	SOX4,WNT2,CTNNB1			1.816	0.236	3
PFL_CRC_008	PFL_CRC	3	ARHGAP4,MYH9,CTNNB1			0.949	0.167	4
PFL_DUB_001	PFL_DUB	2	USP11,E2F1			1.103	0.104	3
PFL_DUB_002	PFL_DUB	2	USP14,WWTR1			0.72	0.198	3
PFL_DUB_003	PFL_DUB	2	NFE2L2,USP11			0.071	0.137	2
PFL_DUB_004	PFL_DUB	2	USP22,FKBP1A				
PFL_DUB_005	PFL_DUB	3	DLGAP5,E2F1,USP11			1.686	0.189	5
PFL_DUB_006	PFL_DUB	2	STAMBPL1,NFE2L2			0.426	0.226	3
PFL_DUB_007	PFL_DUB	2	PDIA3P1,POU5F1				
PFL_DUB_008	PFL_DUB	3	FN1,RAP1B,CREB1				
PFL_EPI_001	PFL_EPI	2	LATS2,ALKBH5				
PFL_EPI_002	PFL_EPI	2	MALAT1,ERBB2				
PFL_EPI_003	PFL_EPI	3	RUNX1,RUNX1T1,FTO				
PFL_EPI_004	PFL_EPI	3	STAT3,METTL3,WTAP			0.73	0.236	3
PFL_EPI_005	PFL_EPI	2	RBM24,TCF4				
PFL_EPI_006	PFL_EPI	3	SRSF9,USP22,ZEB1			0.326	0.13	2
PFL_EPI_007	PFL_EPI	3	PTTG3P,ILF3,E2F1			1.443	0.273	4
PFL_EPI_008	PFL_EPI	2	HNRNPA2B1,TFEB				
PFL_EPI_009	PFL_EPI	2	NAT10,FOXA1				
PFL_EPI_010	PFL_EPI	2	NAT10,CEBPA				
PFL_EPI_011	PFL_EPI	3	GATA2-AS1,DDX3X,GATA2				
PFL_EPI_012	PFL_EPI	2	ACAT2,MTCH2				
PFL_EPI_015	PFL_EPI	2	STAT1,LDHA			1.144	0.259	4
