loop_id	tier	transcript_d	transcript_coex	protein_d_mean4	protD_COAD	protD_LUAD	protD_CCRCC	protD_PDAC	protein_coex_COAD	n_active_cancers	evidence_layers
PFL_EPI_013	Tier 1	1.502	0.578	2.23	1.42	3.37	2.45	1.7	0.53	7	5
PFL_MYC_016	Tier 1	1.498	0.344	1.54	2.84	1.7	0.19	1.44	0.63	7	5
PFL_EPI_014	Tier 1	1.675	0.579	2.42		2.74	2.89	1.63		9	4
PFL_MYC_014	Tier 1	1.035	0.315	1.1	2.79	2.71	0.11	-1.19	0.83	4	4
PFL_HIF_011	Tier 1	1.031	0.368	3.16		2.2	4.11			7	4
PFL_PI3K_001	Tier 1	1.648	0.377	-0.28	-1.04	0.37	-0.93	0.5	-0.06	7	3
PFL_YAP_004	Tier 1	1.048	0.348	-0.28	-0.43	-0.83	-0.32	0.48	0.26	4	2
PFL_MYC_010	Tier 2	1.1	0.31	0.5	1.48	1.43	-0.45	-0.46	0.45	4	4
PFL_MYC_019	Tier 2	0.956	0.303	1.42		2.09		0.74		5	2
PFL_HIF_013	Tier 2	0.922	0.348	0.23		0.06	-0.98	1.61		3	2
PFL_YAP_001	Tier 2	0.875	0.355	-0.22	-0.26	-1.3	-0.06	0.75	0.28	4	1
PFL_EPI_019	Tier 2	0.827	0.302	0.19	-0.54	0.26	1.62	-0.58	0.11	5	1
PFL_RES_009	Tier 2	0.809	0.313	-0.02	-0.03	0.08	-0.39	0.27	-0.24	4	1
PFL_YAP_003	Tier 2	0.679	0.35	-0.06	-0.41	-1.31	0.31	1.19	-0.03	3	1
PFL_YAP_005	Tier 2	0.662	0.438	-0.14	-0.41	-0.87	-0.05	0.77	-0.12	4	1
PFL_MYC_007	Tier 2	0.542	0.46	#NUM!						3	1
PFL_DUB_009	Tier 2	0.513	0.397	-0.15	-0.49	0.13	-0.11	-0.12	0.22	3	1
