phase3a_cycle_id	best_S1_loop_id	jaccard	n_shared_genes	dualhigh17	shared_genes
33526767#0	PFL_CRC_004	0.2	1		TCF7L2
33526767#1	PFL_IMM_008	0.333	1		CTNNB1
33648560#0	PFL_MYC_016	0.75	3	YES	HMGA1,MYC,TRIP13
33648560#1	PFL_MYC_016	0.5	2	YES	MYC,TRIP13
33658394#0	PFL_TME_011	0.167	1		JUN
33658394#1	PFL_TME_011	0.167	1		JUN
33731207#0	PFL_IMM_005	0.667	2		E2F1,HMGA2
33734616#0	PFL_DUB_001	0.25	1		E2F1
34145399#0	PFL_EPI_017	0.333	1		HK1
34163000#0	PFL_NFKB_003	0.25	1		PTEN
34245303#0	PFL_HIF_001	0.5	1		HIF1A
34245303#1	PFL_HIF_001	0.5	1		HIF1A
34245303#2	PFL_HIF_001	0.5	1		HIF1A
34245303#3	PFL_HIF_001	0.5	1		HIF1A
34782005#0	PFL_IMM_002	0.5	1		FOSL2
34976998#0	PFL_HIF_001	0.25	1		HIF1A
35173544#0	PFL_MYC_007	0.2	1	YES	MYC
35227262#0	PFL_MYC_022	1.0	2		MYC,SERPINH1
35289315#0	PFL_EPI_011	0.2	1		GATA2
35342355#0	PFL_IMM_001	0.5	1		SMAD3
35342355#1	PFL_IMM_001	0.333	1		SMAD3
35373703#0	PFL_CRC_002	0.333	1		RELA
35373703#1	PFL_RES_008	0.2	1		IGF2BP2
35534983#0	PFL_STAT3_006	0.667	2		ITGB3,STAT3
35670012#0		0.0	0		
35711895#0		0.0	0		
35739524#0	PFL_HIF_001	0.333	1		HIF1A
36008860#0	PFL_IMM_001	0.25	1		SMAD3
36199071#0	PFL_MYC_007	0.333	1	YES	MYC
36199071#1	PFL_MYC_020	0.667	2		MYC,SRSF1
36566349#0	PFL_MYC_017	0.5	1		IGF2BP3
36566349#1		0.0	0		
36860162#0		0.0	0		
36922898#0		0.0	0		
37008055#0	PFL_HIF_001	0.5	1		HIF1A
37137887#0	PFL_MYC_009	0.25	1		IGF2BP1
37149664#0	PFL_EPI_020	1.0	3		ALKBH5,HDAC4,HIF1A
37231451#0	PFL_EPI_004	1.0	3		METTL3,STAT3,WTAP
37258572#0		0.0	0		
37596320#0		0.0	0		
37774794#0	PFL_MYC_007	0.333	1	YES	MYC
37774794#1	PFL_MYC_007	0.333	1	YES	MYC
37774794#2	PFL_MYC_007	0.333	1	YES	MYC
37774794#3	PFL_MYC_007	0.333	1	YES	MYC
37927783#0	PFL_STAT3_004	0.25	1		TTC13
38051779#0	PFL_HIF_001	0.25	1		HIF1A
38087322#0	PFL_YAP_004	0.25	1	YES	YAP1
38778059#0		0.0	0		
38825640#0	PFL_MYC_002	1.0	4		CTNNB1,MYC,MYH9,RGS19
38982480#0	PFL_MYC_007	0.333	1	YES	MYC
39023169#0		0.0	0		
39023169#1		0.0	0		
39586165#0	PFL_RES_007	0.2	1		ESR2
39890782#0	PFL_NFKB_003	0.2	1		PTEN
39980052#0	PFL_MYC_015	1.0	3		CDCA3,MYC,TRIM28
40155591#0	PFL_RES_012	0.333	1		CSF3R
40454092#0		0.0	0		
40817404#0	PFL_CRC_008	0.6	3		ARHGAP4,CTNNB1,MYH9
40817404#1	PFL_HIF_013	0.4	2	YES	CTNNB1,MYH9
41044601#0	PFL_MYC_003	1.0	2		MYC,RPL22L1
41044601#1	PFL_MYC_003	1.0	2		MYC,RPL22L1
41286950#0	PFL_STAT3_002	0.75	3		IGF2BP3,IL6ST,STAT3
41458623#0		0.0	0		
41963301#0		0.0	0		
41963301#1		0.0	0		
42127732#0		0.0	0		
42338478#0	PFL_EPI_005	0.25	1		TCF4
