raw_token	occurrences	node_class	provisional_symbol	visibility	note	cycles	reviewer_symbol	reviewer_visibility	reviewer_decision
MYC	13	single_symbol_unverified	MYC	T_uncertain	provisional: no gene universe available	33648560#0;33648560#1;35173544#0;36199071#1;37774794#0;37774794#1;37774794#2;37774794#3;38825640#0			
CASC15	4	noncoding_rna		T_uncertain	non-coding; confirm membership in the screen's perturbation list	35342355#0;35342355#1			
CTNNB1/beta-catenin activity	4	single_symbol_unverified	CTNNB1	T_uncertain	provisional: no gene universe available	33526767#1;38825640#0;40817404#0;40817404#1			
LINC01006	4	noncoding_rna		T_uncertain	non-coding; confirm membership in the screen's perturbation list	37774794#0;37774794#1;37774794#2;37774794#3			
LINC01605	4	noncoding_rna		T_uncertain	non-coding; confirm membership in the screen's perturbation list	35373703#0;35373703#1			
METTL3	4	single_symbol_unverified	METTL3	T_uncertain	provisional: no gene universe available	37774794#0;37774794#1;37774794#2;37774794#3			
PVT1	4	noncoding_rna		T_uncertain	non-coding; confirm membership in the screen's perturbation list	34245303#0;34245303#1;34245303#2;34245303#3			
RPL22L1	4	single_symbol_unverified	RPL22L1	T_uncertain	provisional: no gene universe available	41044601#0;41044601#1			
circPVT1	4	noncoding_rna		T_uncertain	non-coding; confirm membership in the screen's perturbation list	36199071#0;36199071#1			
miR-452-5p	4	noncoding_rna		T_uncertain	non-coding; confirm membership in the screen's perturbation list	33658394#0;33658394#1			
MAPK/ERK activity	3	complex_or_pathway		T_uncertain	complex/pathway token 'MAPK/ERK'; no gene assigned	33658394#0;33658394#1;41044601#1			
MYC protein stability	3	single_symbol_unverified	MYC	T_invisible	provisional: no gene universe available	36199071#0;39980052#0;41044601#0			
TRIP13	3	single_symbol_unverified	TRIP13	T_uncertain	provisional: no gene universe available	33648560#0;33648560#1			
AKT activity	2	complex_or_pathway		T_uncertain	complex/pathway token 'AKT'; no gene assigned	34163000#0			
ARHGAP4	2	single_symbol_unverified	ARHGAP4	T_uncertain	provisional: no gene universe available	40817404#0			
BTRC E3 activity toward MYC	2	multi_symbol_unverified	BTRC	T_invisible	multiple symbols ['BTRC', 'E3', 'MYC']; first taken provisionally	36199071#0;36199071#1			
