cycle_id	pmid	status	cancer	compartment	length	closure	sign_product	n_unmapped_nodes	raw
39980052#0	39980052	FT1-retained	Bladder cancer	Cell-intrinsic	3	CLOSED	1	0	CDCA3 -> TRIM28 protective activity toward MYC -> MYC protein stability -> CDCA3
37258572#0	37258572	FT1-retained	Bladder cancer	Cell-intrinsic	3	CLOSED	1	0	YTHDC1 activity -| SLC2A3/GLUT3 abundance -> RNF183 abundance -| YTHDC1 protein stability
36922898#0	36922898	Q2A-retained	Breast cancer	Intercellular/TME	3	NOT_CLOSED	1	3	macrophage IL-1β → tumour-cell FN1/FN-EDA → macrophage NF-κB/STAT3 → IL-1β
34976998#0	34976998	FT1-retained	Breast cancer	Cell-intrinsic	6	NOT_CLOSED	1	4	HCG18 -| miR-103a-3p activity -| UBE2O -| PRKAA2/AMPK-alpha2 activity -| mTORC1 activity -> HIF1A activity -> HCG18
39586165#0	39586165	FT1-retained	Clear-cell renal cell carcinoma	Cell-intrinsic	4	CLOSED	1	2	ESR2/ER-beta activity -| circATP2B1 abundance -> miR-204-3p stability/activity -| TWIST1 abundance -> ESR2 transcription
37927783#0	37927783	FT1-retained	Clear-cell renal cell carcinoma	Cell-intrinsic	2	CLOSED	1	1	TTC13 -> JAK2/STAT3 activity -> TTC13
40817404#0	40817404	FT1-retained	Colorectal cancer	Cell-intrinsic	5	CLOSED	1	0	ARHGAP4 -> MYH9 phase separation -| GSK3B stability -| CTNNB1/beta-catenin activity -> JUN/c-Jun -> ARHGAP4
40817404#1	40817404	FT1-retained	Colorectal cancer	Cell-intrinsic	4	CLOSED	1	0	MYH9 phase separation -| GSK3B stability -| CTNNB1/beta-catenin activity -> JUN/c-Jun -> MYH9
41286950#0	41286950	FT1-retained	Colorectal cancer	Cell-intrinsic	3	CLOSED	1	0	IGF2BP3 activity -> IL6ST mRNA stability/abundance -> STAT3 activity -> IGF2BP3
35670012#0	35670012	FT1-retained	Colorectal cancer	Cell-intrinsic	2	CLOSED	1	0	DPEP1 protein -> ASCL2 protein stability/activity -> DPEP1 transcription/abundance
35739524#0	35739524	FT1-retained	Colorectal cancer	Cell-intrinsic	3	CLOSED	1	1	HIF1A activity -> RRAGB transcription/abundance -> mTORC1 activity -> HIF1A translation/protein abundance
33658394#0	33658394	FT1-retained	Colorectal cancer	Cell-intrinsic	4	NOT_CLOSED	1	3	miR-452-5p -| PKN2 -| MAPK/ERK activity -> JUN/c-Jun activity -> miR-452-5p
33658394#1	33658394	FT1-retained	Colorectal cancer	Cell-intrinsic	4	NOT_CLOSED	1	3	miR-452-5p -| DUSP6 -| MAPK/ERK activity -> JUN/c-Jun activity -> miR-452-5p
34782005#0	34782005	Q2A-retained	Colorectal cancer	Cell-intrinsic	3	NOT_CLOSED	1	3	SNHG17 ┤ miR-339-5p ┤ FOSL2 → SNHG17
38087322#0	38087322	FT1-retained	Colorectal cancer liver metastasis	Cell-intrinsic	4	NOT_CLOSED	1	2	m6A-circ-YAP translation -> YAP-220aa -| LATS1 access to YAP1 -| YAP1 nuclear/transcriptional activity -> circ-YAP transcription
34145399#0	34145399	FT1-retained	Colorectal cancer liver metastasis	Cell-intrinsic	6	NOT_CLOSED	1	5	MIR17HG ┤ miR-138-5p ┤ HK1 → glycolytic lactate → MAPK14/p38 activity → ELK1 activity → MIR17HG
39023169#0	39023169	FT1-retained	Esophageal squamous cell carcinoma	Cell-intrinsic	3	CLOSED	1	0	TARDBP/TDP-43 transcriptional activity -> TP63 transcription -> TP63 transcriptional activity -> TARDBP transcription
39023169#1	39023169	FT1-retained	Esophageal squamous cell carcinoma	Cell-intrinsic	3	CLOSED	1	0	TARDBP/TDP-43 RNA-binding activity -> TP63 mRNA stability -> TP63 transcriptional activity -> TARDBP transcription
36008860#0	36008860	FT1-retained	Esophageal squamous cell carcinoma	Cell-intrinsic	3	CLOSED	1	0	SMAD3 nuclear activity -> THBS1/TSP1 -> active TGFB1 signaling -> SMAD3 phosphorylation/nuclear activity
40454092#0	40454092	FT1-retained	Gallbladder cancer	Cell-intrinsic	2	CLOSED	1	1	AHR transcriptional activity -> HEGBC transcription -> AHR transcription/activity
42127732#0	42127732	FT1-retained	Gastric cancer	Cell-intrinsic	3	CLOSED	1	1	CDH11 -> TGF-beta pathway activity -> SNAI2/Snail2 nuclear activity -> CDH11 transcription
42330341#0	42330341	Q2A-retained	Gastric cancer	Intercellular/TME	4	NOT_CLOSED	1	5	tumour CXCL8 → neuronal CXCR2 → neuronal MIF → tumour VCAM1/ERK/STAT3 → tumour CXCL8
36632455#0	36632455	FT1-retained	Gastric cancer	Intercellular/TME	4	NOT_CLOSED	1	5	tumor-cell-secreted BGN -> mesothelial TLR2/TLR4/NF-kappaB activity -> CAF-like-cell FAP secretion -> tumor-cell STAT3 activity -> tumor-cell BGN transcription
35289315#0	35289315	FT1-retained	Gastric cancer	Cell-intrinsic	3	CLOSED	1	0	GATA2 activity -> secreted CGA -> EGFR activity -> GATA2 expression/phosphorylation
33526767#0	33526767	FT1-retained	Gastric cancer	Cell-intrinsic	3	CLOSED	1	0	secreted WNT7B -| FTO activity -| TCF7L2 abundance/activity -> WNT7B
33526767#1	33526767	FT1-retained	Gastric cancer	Cell-intrinsic	3	CLOSED	1	1	secreted WNT7B -> CTNNB1/beta-catenin activity -> TCF7L2/beta-catenin activity -> WNT7B
33731207#0	33731207	FT1-retained	Gastric cancer	Cell-intrinsic	4	NOT_CLOSED	1	3	circFAM73A ┤ miR-490-3p ┤ HMGA2 → E2F1 activity → circFAM73A
36860162#0	36860162	Q2A-retained	Gastric intestinal metaplasia (premalignant gastric lesion)	Cell-intrinsic	2	CLOSED	1	0	GATA4 → CDX2 → GATA4
