cycle_id	pmid	edge_idx	source_token	target_token	source	target	sign	source_class	target_class	visibility	structural_reason	confirmatory_eligible	compartment	status	review_flag
39980052#0	39980052	0	CDCA3	TRIM28 protective activity toward MYC	CDCA3	TRIM28	1	single_symbol_unverified	multi_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
39980052#0	39980052	1	TRIM28 protective activity toward MYC	MYC protein stability	TRIM28	MYC	1	multi_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
39980052#0	39980052	2	MYC protein stability	CDCA3	MYC	CDCA3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37258572#0	37258572	0	YTHDC1 activity	SLC2A3/GLUT3 abundance	YTHDC1	SLC2A3	-1	single_symbol_unverified	multi_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37258572#0	37258572	1	SLC2A3/GLUT3 abundance	RNF183 abundance	SLC2A3	RNF183	1	multi_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37258572#0	37258572	2	RNF183 abundance	YTHDC1 protein stability	RNF183	YTHDC1	-1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
36922898#0	36922898	0	macrophage IL-1β	tumour-cell FN1/FN-EDA			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	Q2A-retained	True
36922898#0	36922898	1	tumour-cell FN1/FN-EDA	macrophage NF-κB/STAT3			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	Q2A-retained	True
36922898#0	36922898	2	macrophage NF-κB/STAT3	IL-1β		IL	1	cell_type_prefixed	single_symbol_unverified	T_uncertain	intercellular	False	Intercellular/TME	Q2A-retained	True
34976998#0	34976998	0	HCG18	miR-103a-3p activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34976998#0	34976998	1	miR-103a-3p activity	UBE2O		UBE2O	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34976998#0	34976998	2	UBE2O	PRKAA2/AMPK-alpha2 activity	UBE2O	PRKAA2	-1	single_symbol_unverified	multi_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
34976998#0	34976998	3	PRKAA2/AMPK-alpha2 activity	mTORC1 activity	PRKAA2		-1	multi_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
34976998#0	34976998	4	mTORC1 activity	HIF1A activity		HIF1A	1	complex_or_pathway	single_symbol_unverified	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
34976998#0	34976998	5	HIF1A activity	HCG18	HIF1A		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
39586165#0	39586165	0	ESR2/ER-beta activity	circATP2B1 abundance	ESR2		-1	multi_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
39586165#0	39586165	1	circATP2B1 abundance	miR-204-3p stability/activity			1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
39586165#0	39586165	2	miR-204-3p stability/activity	TWIST1 abundance		TWIST1	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
39586165#0	39586165	3	TWIST1 abundance	ESR2 transcription	TWIST1	ESR2	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
37927783#0	37927783	0	TTC13	JAK2/STAT3 activity	TTC13		1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
37927783#0	37927783	1	JAK2/STAT3 activity	TTC13		TTC13	1	complex_or_pathway	single_symbol_unverified	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
40817404#0	40817404	0	ARHGAP4	MYH9 phase separation	ARHGAP4	MYH9	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40817404#0	40817404	1	MYH9 phase separation	GSK3B stability	MYH9	GSK3B	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40817404#0	40817404	2	GSK3B stability	CTNNB1/beta-catenin activity	GSK3B	CTNNB1	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40817404#0	40817404	3	CTNNB1/beta-catenin activity	JUN/c-Jun	CTNNB1	JUN	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40817404#0	40817404	4	JUN/c-Jun	ARHGAP4	JUN	ARHGAP4	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40817404#1	40817404	0	MYH9 phase separation	GSK3B stability	MYH9	GSK3B	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40817404#1	40817404	1	GSK3B stability	CTNNB1/beta-catenin activity	GSK3B	CTNNB1	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40817404#1	40817404	2	CTNNB1/beta-catenin activity	JUN/c-Jun	CTNNB1	JUN	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
40817404#1	40817404	3	JUN/c-Jun	MYH9	JUN	MYH9	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
41286950#0	41286950	0	IGF2BP3 activity	IL6ST mRNA stability/abundance	IGF2BP3	IL6ST	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
41286950#0	41286950	1	IL6ST mRNA stability/abundance	STAT3 activity	IL6ST	STAT3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
41286950#0	41286950	2	STAT3 activity	IGF2BP3	STAT3	IGF2BP3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35670012#0	35670012	0	DPEP1 protein	ASCL2 protein stability/activity	DPEP1	ASCL2	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35670012#0	35670012	1	ASCL2 protein stability/activity	DPEP1 transcription/abundance	ASCL2	DPEP1	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
35739524#0	35739524	0	HIF1A activity	RRAGB transcription/abundance	HIF1A	RRAGB	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
35739524#0	35739524	1	RRAGB transcription/abundance	mTORC1 activity	RRAGB		1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
35739524#0	35739524	2	mTORC1 activity	HIF1A translation/protein abundance		HIF1A	1	complex_or_pathway	single_symbol_unverified	T_invisible	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
33658394#0	33658394	0	miR-452-5p	PKN2		PKN2	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
33658394#0	33658394	1	PKN2	MAPK/ERK activity	PKN2		-1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
33658394#0	33658394	2	MAPK/ERK activity	JUN/c-Jun activity		JUN	1	complex_or_pathway	single_symbol_unverified	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
33658394#0	33658394	3	JUN/c-Jun activity	miR-452-5p	JUN		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
33658394#1	33658394	0	miR-452-5p	DUSP6		DUSP6	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
33658394#1	33658394	1	DUSP6	MAPK/ERK activity	DUSP6		-1	single_symbol_unverified	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
33658394#1	33658394	2	MAPK/ERK activity	JUN/c-Jun activity		JUN	1	complex_or_pathway	single_symbol_unverified	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
33658394#1	33658394	3	JUN/c-Jun activity	miR-452-5p	JUN		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34782005#0	34782005	0	SNHG17	miR-339-5p			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	Q2A-retained	True
34782005#0	34782005	1	miR-339-5p	FOSL2		FOSL2	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	Q2A-retained	True
34782005#0	34782005	2	FOSL2	SNHG17	FOSL2		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	Q2A-retained	True
38087322#0	38087322	0	m6A-circ-YAP translation	YAP-220aa		YAP	1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
38087322#0	38087322	1	YAP-220aa	LATS1 access to YAP1	YAP	LATS1	-1	single_symbol_unverified	multi_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38087322#0	38087322	2	LATS1 access to YAP1	YAP1 nuclear/transcriptional activity	LATS1	YAP1	-1	multi_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
38087322#0	38087322	3	YAP1 nuclear/transcriptional activity	circ-YAP transcription	YAP1		1	single_symbol_unverified	noncoding_rna	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34145399#0	34145399	0	MIR17HG	miR-138-5p			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34145399#0	34145399	1	miR-138-5p	HK1		HK1	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34145399#0	34145399	2	HK1	glycolytic lactate	HK1		1	single_symbol_unverified	metabolite_or_process	T_uncertain	metabolite_or_process	False	Cell-intrinsic	FT1-retained	True
34145399#0	34145399	3	glycolytic lactate	MAPK14/p38 activity			1	metabolite_or_process	complex_or_pathway	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
34145399#0	34145399	4	MAPK14/p38 activity	ELK1 activity		ELK1	1	complex_or_pathway	single_symbol_unverified	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
34145399#0	34145399	5	ELK1 activity	MIR17HG	ELK1		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
39023169#0	39023169	0	TARDBP/TDP-43 transcriptional activity	TP63 transcription	TARDBP	TP63	1	multi_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
39023169#0	39023169	1	TP63 transcription	TP63 transcriptional activity	TP63	TP63	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
39023169#0	39023169	2	TP63 transcriptional activity	TARDBP transcription	TP63	TARDBP	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
39023169#1	39023169	0	TARDBP/TDP-43 RNA-binding activity	TP63 mRNA stability	TARDBP	TP63	1	multi_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
39023169#1	39023169	1	TP63 mRNA stability	TP63 transcriptional activity	TP63	TP63	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
39023169#1	39023169	2	TP63 transcriptional activity	TARDBP transcription	TP63	TARDBP	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
36008860#0	36008860	0	SMAD3 nuclear activity	THBS1/TSP1	SMAD3	THBS1	1	single_symbol_unverified	multi_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
36008860#0	36008860	1	THBS1/TSP1	active TGFB1 signaling	THBS1	TGFB1	1	multi_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
