cycle_id	edge_idx	source_token	target_token	visibility	target_class	review_flag
39980052#0	0	CDCA3	TRIM28 protective activity toward MYC	T_uncertain	multi_symbol_unverified	True
39980052#0	1	TRIM28 protective activity toward MYC	MYC protein stability	T_invisible	single_symbol_unverified	True
39980052#0	2	MYC protein stability	CDCA3	T_uncertain	single_symbol_unverified	True
37258572#0	0	YTHDC1 activity	SLC2A3/GLUT3 abundance	T_uncertain	multi_symbol_unverified	True
37258572#0	1	SLC2A3/GLUT3 abundance	RNF183 abundance	T_uncertain	single_symbol_unverified	True
37258572#0	2	RNF183 abundance	YTHDC1 protein stability	T_invisible	single_symbol_unverified	True
36922898#0	0	macrophage IL-1β	tumour-cell FN1/FN-EDA	T_uncertain	cell_type_prefixed	True
36922898#0	1	tumour-cell FN1/FN-EDA	macrophage NF-κB/STAT3	T_uncertain	cell_type_prefixed	True
36922898#0	2	macrophage NF-κB/STAT3	IL-1β	T_uncertain	single_symbol_unverified	True
34976998#0	0	HCG18	miR-103a-3p activity	T_uncertain	noncoding_rna	True
34976998#0	1	miR-103a-3p activity	UBE2O	T_uncertain	single_symbol_unverified	True
34976998#0	2	UBE2O	PRKAA2/AMPK-alpha2 activity	T_uncertain	multi_symbol_unverified	True
34976998#0	3	PRKAA2/AMPK-alpha2 activity	mTORC1 activity	T_uncertain	complex_or_pathway	True
34976998#0	4	mTORC1 activity	HIF1A activity	T_uncertain	single_symbol_unverified	True
34976998#0	5	HIF1A activity	HCG18	T_uncertain	noncoding_rna	True
39586165#0	0	ESR2/ER-beta activity	circATP2B1 abundance	T_uncertain	noncoding_rna	True
39586165#0	1	circATP2B1 abundance	miR-204-3p stability/activity	T_uncertain	noncoding_rna	True
39586165#0	2	miR-204-3p stability/activity	TWIST1 abundance	T_uncertain	single_symbol_unverified	True
39586165#0	3	TWIST1 abundance	ESR2 transcription	T_visible	single_symbol_unverified	True
37927783#0	0	TTC13	JAK2/STAT3 activity	T_uncertain	complex_or_pathway	True
37927783#0	1	JAK2/STAT3 activity	TTC13	T_uncertain	single_symbol_unverified	True
40817404#0	0	ARHGAP4	MYH9 phase separation	T_invisible	single_symbol_unverified	True
40817404#0	1	MYH9 phase separation	GSK3B stability	T_uncertain	single_symbol_unverified	True
40817404#0	2	GSK3B stability	CTNNB1/beta-catenin activity	T_uncertain	single_symbol_unverified	True
40817404#0	3	CTNNB1/beta-catenin activity	JUN/c-Jun	T_uncertain	single_symbol_unverified	True
40817404#0	4	JUN/c-Jun	ARHGAP4	T_uncertain	single_symbol_unverified	True
40817404#1	0	MYH9 phase separation	GSK3B stability	T_uncertain	single_symbol_unverified	True
40817404#1	1	GSK3B stability	CTNNB1/beta-catenin activity	T_uncertain	single_symbol_unverified	True
40817404#1	2	CTNNB1/beta-catenin activity	JUN/c-Jun	T_uncertain	single_symbol_unverified	True
40817404#1	3	JUN/c-Jun	MYH9	T_uncertain	single_symbol_unverified	True
41286950#0	0	IGF2BP3 activity	IL6ST mRNA stability/abundance	T_visible	single_symbol_unverified	True
41286950#0	1	IL6ST mRNA stability/abundance	STAT3 activity	T_uncertain	single_symbol_unverified	True
41286950#0	2	STAT3 activity	IGF2BP3	T_uncertain	single_symbol_unverified	True
35670012#0	0	DPEP1 protein	ASCL2 protein stability/activity	T_invisible	single_symbol_unverified	True
35670012#0	1	ASCL2 protein stability/activity	DPEP1 transcription/abundance	T_visible	single_symbol_unverified	True
35739524#0	0	HIF1A activity	RRAGB transcription/abundance	T_visible	single_symbol_unverified	True
35739524#0	1	RRAGB transcription/abundance	mTORC1 activity	T_uncertain	complex_or_pathway	True
35739524#0	2	mTORC1 activity	HIF1A translation/protein abundance	T_invisible	single_symbol_unverified	True
33658394#0	0	miR-452-5p	PKN2	T_uncertain	single_symbol_unverified	True
33658394#0	1	PKN2	MAPK/ERK activity	T_uncertain	complex_or_pathway	True
33658394#0	2	MAPK/ERK activity	JUN/c-Jun activity	T_uncertain	single_symbol_unverified	True
33658394#0	3	JUN/c-Jun activity	miR-452-5p	T_uncertain	noncoding_rna	True
33658394#1	0	miR-452-5p	DUSP6	T_uncertain	single_symbol_unverified	True
33658394#1	1	DUSP6	MAPK/ERK activity	T_uncertain	complex_or_pathway	True
33658394#1	2	MAPK/ERK activity	JUN/c-Jun activity	T_uncertain	single_symbol_unverified	True
33658394#1	3	JUN/c-Jun activity	miR-452-5p	T_uncertain	noncoding_rna	True
34782005#0	0	SNHG17	miR-339-5p	T_uncertain	noncoding_rna	True
34782005#0	1	miR-339-5p	FOSL2	T_uncertain	single_symbol_unverified	True
34782005#0	2	FOSL2	SNHG17	T_uncertain	noncoding_rna	True
38087322#0	0	m6A-circ-YAP translation	YAP-220aa	T_uncertain	single_symbol_unverified	True
38087322#0	1	YAP-220aa	LATS1 access to YAP1	T_invisible	multi_symbol_unverified	True
38087322#0	2	LATS1 access to YAP1	YAP1 nuclear/transcriptional activity	T_uncertain	single_symbol_unverified	True
38087322#0	3	YAP1 nuclear/transcriptional activity	circ-YAP transcription	T_visible	noncoding_rna	True
34145399#0	0	MIR17HG	miR-138-5p	T_uncertain	noncoding_rna	True
34145399#0	1	miR-138-5p	HK1	T_uncertain	single_symbol_unverified	True
34145399#0	2	HK1	glycolytic lactate	T_uncertain	metabolite_or_process	True
34145399#0	3	glycolytic lactate	MAPK14/p38 activity	T_uncertain	complex_or_pathway	True
34145399#0	4	MAPK14/p38 activity	ELK1 activity	T_uncertain	single_symbol_unverified	True
34145399#0	5	ELK1 activity	MIR17HG	T_uncertain	noncoding_rna	True
39023169#0	0	TARDBP/TDP-43 transcriptional activity	TP63 transcription	T_visible	single_symbol_unverified	True
39023169#0	1	TP63 transcription	TP63 transcriptional activity	T_visible	single_symbol_unverified	True
39023169#0	2	TP63 transcriptional activity	TARDBP transcription	T_visible	single_symbol_unverified	True
39023169#1	0	TARDBP/TDP-43 RNA-binding activity	TP63 mRNA stability	T_visible	single_symbol_unverified	True
39023169#1	1	TP63 mRNA stability	TP63 transcriptional activity	T_visible	single_symbol_unverified	True
39023169#1	2	TP63 transcriptional activity	TARDBP transcription	T_visible	single_symbol_unverified	True
36008860#0	0	SMAD3 nuclear activity	THBS1/TSP1	T_uncertain	multi_symbol_unverified	True
36008860#0	1	THBS1/TSP1	active TGFB1 signaling	T_uncertain	single_symbol_unverified	True
36008860#0	2	active TGFB1 signaling	SMAD3 phosphorylation/nuclear activity	T_invisible	single_symbol_unverified	True
40454092#0	0	AHR transcriptional activity	HEGBC transcription	T_visible	noncoding_rna	True
40454092#0	1	HEGBC transcription	AHR transcription/activity	T_visible	single_symbol_unverified	True
42127732#0	0	CDH11	TGF-beta pathway activity	T_uncertain	complex_or_pathway	True
42127732#0	1	TGF-beta pathway activity	SNAI2/Snail2 nuclear activity	T_invisible	single_symbol_unverified	True
42127732#0	2	SNAI2/Snail2 nuclear activity	CDH11 transcription	T_visible	single_symbol_unverified	True
42330341#0	0	tumour CXCL8	neuronal CXCR2	T_uncertain	cell_type_prefixed	True
42330341#0	1	neuronal CXCR2	neuronal MIF	T_uncertain	cell_type_prefixed	True
42330341#0	2	neuronal MIF	tumour VCAM1/ERK/STAT3	T_uncertain	cell_type_prefixed	True
42330341#0	3	tumour VCAM1/ERK/STAT3	tumour CXCL8	T_uncertain	cell_type_prefixed	True
36632455#0	0	tumor-cell-secreted BGN	mesothelial TLR2/TLR4/NF-kappaB activity	T_uncertain	cell_type_prefixed	True
36632455#0	1	mesothelial TLR2/TLR4/NF-kappaB activity	CAF-like-cell FAP secretion	T_uncertain	cell_type_prefixed	True
36632455#0	2	CAF-like-cell FAP secretion	tumor-cell STAT3 activity	T_uncertain	cell_type_prefixed	True
36632455#0	3	tumor-cell STAT3 activity	tumor-cell BGN transcription	T_visible	cell_type_prefixed	True
35289315#0	0	GATA2 activity	secreted CGA	T_uncertain	single_symbol_unverified	True
35289315#0	1	secreted CGA	EGFR activity	T_uncertain	single_symbol_unverified	True
35289315#0	2	EGFR activity	GATA2 expression/phosphorylation	T_uncertain	single_symbol_unverified	True
33526767#0	0	secreted WNT7B	FTO activity	T_uncertain	single_symbol_unverified	True
33526767#0	1	FTO activity	TCF7L2 abundance/activity	T_uncertain	single_symbol_unverified	True
33526767#0	2	TCF7L2 abundance/activity	WNT7B	T_uncertain	single_symbol_unverified	True
33526767#1	0	secreted WNT7B	CTNNB1/beta-catenin activity	T_uncertain	single_symbol_unverified	True
33526767#1	1	CTNNB1/beta-catenin activity	TCF7L2/beta-catenin activity	T_uncertain	complex_or_pathway	True
33526767#1	2	TCF7L2/beta-catenin activity	WNT7B	T_uncertain	single_symbol_unverified	True
33731207#0	0	circFAM73A	miR-490-3p	T_uncertain	noncoding_rna	True
33731207#0	1	miR-490-3p	HMGA2	T_uncertain	single_symbol_unverified	True
33731207#0	2	HMGA2	E2F1 activity	T_uncertain	single_symbol_unverified	True
33731207#0	3	E2F1 activity	circFAM73A	T_uncertain	noncoding_rna	True
36860162#0	0	GATA4	CDX2	T_uncertain	single_symbol_unverified	True
36860162#0	1	CDX2	GATA4	T_uncertain	single_symbol_unverified	True
41458623#0	0	ZFHX4 abundance/activity	SOX2 abundance/activity	T_uncertain	single_symbol_unverified	True
